Scala Farbton;C;M;Y;K;HBW;RAL
03.03.03;0;0;10;5;82,3;
03.03.06;5;5;15;0;75,6;
03.03.09;5;5;20;10;67,3;RAL 9002
03.03.12;10;10;25;15;55,9;
03.03.15;15;15;30;20;47,1;RAL 7044
03.03.16;20;15;35;35;37,5;
03.03.18;50;45;50;0;29,0;RAL 7030
03.03.21;40;35;45;30;22,4;
03.03.24;10;15;30;70;16,5;RAL 7039
03.03.25;20;25;40;70;13,9;
03.03.27;10;20;40;80;10,7;RAL 7013
03.03.30;35;40;60;80;7,7;RAL 6014
03.06.03;0;5;20;0;87,6;
03.06.06;0;5;25;0;83,0;
03.06.09;5;10;30;0;74,1;
03.06.12;0;5;30;20;61,1;
03.06.15;25;25;40;10;43,2;
03.06.16;5;15;40;45;34,7;
03.06.18;35;40;60;15;30,7;
03.06.21;5;20;45;60;21,4;
03.06.24;40;50;70;45;13,7;
03.06.27;5;20;45;80;10,3;
03.06.30;60;60;80;80;6,2;
03.09.01;0;5;20;0;88,0;
03.09.03;0;5;30;0;84,5;
03.09.06;0;5;35;0;76,6;
03.09.09;5;15;45;0;67,6;
03.09.12;0;15;50;5;59,7;
03.09.15;5;20;60;25;43,4;
03.09.16;5;25;60;35;34,5;
03.09.18;20;35;70;25;30,0;
03.09.21;25;40;70;35;22,5;
03.09.24;25;45;70;50;15,0;RAL 7008
03.09.27;20;45;90;80;9,2;
03.12.01;0;0;35;0;87,3;
03.12.03;0;5;40;5;83,3;
03.12.06;0;10;50;0;75,2;
03.12.09;0;15;60;0;69,5;
03.12.12;0;15;60;0;58,7;
03.12.15;0;25;70;20;42,8;
03.12.16;5;30;70;20;38,5;
03.12.18;30;45;80;0;33,6;
03.12.21;10;45;90;45;20,8;
03.12.24;20;50;90;60;13,9;
03.15.01;0;5;40;0;87,2;
03.15.02;0;5;40;5;85,0;
03.15.03;0;5;50;0;79,7;
03.15.06;0;15;70;0;75,1;
03.15.09;0;20;80;0;68,6;
03.15.12;0;25;90;0;66,7;
03.15.15;0;30;90;5;48,0;RAL 1012
03.15.18;5;35;100;5;42,0;
03.15.21;5;35;100;30;30,9;
03.15.24;0;40;100;40;25,9;RAL 1027
03.18.15;0;25;100;0;56,8;
03.18.18;0;30;100;0;54,6;RAL 1021
03.21.12;0;25;100;0;65,3;
03.21.15;0;25;100;0;62,3;
03.21.18;0;30;100;0;53,9;RAL 1023
03.ME.01;20;20;30;45;~ 35;DB 704
06.06.03;5;5;20;0;80,2;
06.06.06;0;5;25;10;71,5;RAL 1013
06.06.09;5;10;30;10;64,9;
06.06.12;5;10;35;15;55,3;
06.06.15;20;25;45;10;47,8;
06.06.18;15;25;45;35;30,6;
06.06.21;40;45;60;25;23,7;
06.06.24;60;70;80;30;11,7;
06.06.27;10;30;50;90;6,8;
06.09.03;0;5;20;0;81,2;
06.09.06;0;10;35;0;73,4;
06.09.09;0;15;45;10;61,6;
06.09.12;10;25;45;0;59,5;RAL 1014
06.09.15;0;25;60;20;44,7;
06.09.18;20;40;70;25;28,0;
06.09.21;25;50;80;45;18,9;
06.09.24;45;60;90;45;13,0;
06.09.27;15;40;70;70;10,3;
06.12.01;0;0;15;0;87,0;
06.12.02;0;5;25;0;84,1;
06.12.03;0;5;35;0;77,6;
06.12.06;0;15;45;0;76,3;
06.12.09;0;20;50;0;61,7;
06.12.12;0;25;60;5;54,9;
06.12.15;5;35;70;5;45,3;
06.12.18;30;50;80;0;32,7;
06.12.21;10;50;90;35;23,4;
06.12.24;0;40;80;60;15,6;
06.15.01;0;0;25;0;89,2;
06.15.02;0;5;40;0;85,2;
06.15.03;0;10;45;0;80,5;
06.15.06;0;10;50;0;74,8;
06.15.09;0;25;70;0;65,0;
06.15.12;0;35;80;0;55,5;
06.15.15;0;40;90;5;43,4;
06.15.18;0;40;100;20;33,8;
06.15.21;10;50;100;40;21,8;
06.18.09;0;25;80;0;64,9;
06.18.12;0;30;80;0;57,0;
06.18.15;0;40;100;5;43,7;RAL 1032
06.18.18;0;40;100;20;33,9;RAL 1005
06.21.12;0;25;80;0;65,9;
06.21.15;0;35;100;0;54,4;
06.21.18;0;45;100;0;42,1;RAL 1004
09.06.02;0;0;10;5;80,9;
09.06.03;0;5;15;0;80,5;
09.06.06;0;5;15;5;76,1;RAL 9001
09.06.09;5;10;25;5;66,2;
09.06.12;5;10;30;15;57,2;
09.06.15;0;10;30;30;46,7;
09.06.18;30;35;50;20;30,7;
09.06.21;0;15;35;70;16,9;RAL 7006
09.06.24;0;30;45;80;9,5;
09.06.27;10;25;50;90;6,3;RAL 6022
09.07.03;0;5;20;0;81,1;
09.07.06;0;5;20;5;75,4;
09.07.09;0;10;30;10;64,9;
09.09.01;0;0;15;0;91,1;
09.09.02;0;5;20;0;88,2;
09.09.03;0;5;25;0;83,1;
09.09.06;0;10;30;0;74,9;
09.09.09;0;10;35;5;67,7;RAL 1015
09.09.12;5;20;40;10;55,6;
09.09.15;10;30;60;10;47,2;RAL 1001
09.09.18;30;45;70;15;29,5;
09.09.21;0;40;70;50;18,4;RAL 8000
09.09.24;0;40;70;80;10,0;
09.11.06;0;15;40;0;73,3;
09.11.09;0;15;40;5;66,8;
09.11.12;5;25;50;0;58,6;
09.11.15;10;35;60;5;45,6;
09.12.01;0;5;20;0;84,8;
09.12.02;0;10;35;0;84,1;
09.12.03;0;10;35;0;80,4;
09.12.06;0;10;40;5;75,7;
09.12.09;0;20;45;5;63,1;
09.12.12;0;25;60;5;56,9;
09.12.15;5;35;70;10;44,9;RAL 1002
09.12.18;15;45;80;10;32,8;RAL 1024
09.12.21;0;50;90;50;19,4;
09.12.24;5;45;80;60;14,3;
09.15.02;0;5;30;0;83,9;
09.15.03;0;10;40;5;79,9;
09.15.06;0;15;45;0;77,6;
09.15.07;0;20;45;0;71,1;
09.15.09;0;25;60;0;65,2;
09.15.12;0;35;70;0;54,7;
09.15.15;0;40;80;10;43,8;
09.15.18;0;45;90;25;29,3;
09.18.03;0;10;40;5;82,0;
09.18.06;0;10;50;0;76,7;
09.18.09;0;20;60;0;71,9;
09.18.12;0;30;70;0;58,2;
09.18.15;0;40;80;5;48,7;
09.18.18;0;45;80;5;40,3;
09.21.12;0;35;80;0;63,3;
09.21.15;0;45;100;0;48,7;RAL 1003
09.21.18;0;50;100;0;37,9;RAL 1006
09.24.15;0;45;100;0;50,3;
12.03.03;0;5;15;5;76,9;
12.03.06;10;10;20;0;69,4;
12.03.09;10;10;25;10;60,1;
12.03.12;25;20;35;10;48,8;
12.03.15;15;15;30;30;39,4;
12.03.18;5;10;25;50;33,9;
12.03.19;50;45;45;5;28,1;
12.03.21;50;45;50;20;23,1;
12.03.24;5;10;25;70;17,5;
12.03.27;5;15;30;80;12,3;
12.06.12;0;15;30;30;46,6;
12.06.15;0;15;35;35;41,3;
12.06.18;35;45;60;10;30,9;RAL 1019
12.06.19;25;35;45;30;26,7;
12.06.21;15;35;45;50;21,4;
12.06.24;50;60;70;35;13,6;
12.06.27;80;90;100;5;10,0;
